client_id,round_number,hierarchy,num_samples,set,accuracy,loss
f0844_42,0,,30,test,0.0,4.119421
f0847_06,0,,241,test,0.0,4.125106
f0851_41,0,,228,test,0.0,4.1205206
f0873_42,0,,379,test,0.0,4.1181517
f0901_39,0,,364,test,0.0,4.1113586
f0907_00,0,,280,test,0.0,4.096877
f0919_47,0,,394,test,0.0,4.121363
f0920_11,0,,269,test,0.0,4.1290584
f0936_34,0,,298,test,0.0,4.1350923
f0991_47,0,,8,test,0.0,4.168498
f0994_46,0,,37,test,0.0,4.1703877
f0995_43,0,,336,test,0.0,4.1134815
f1003_41,0,,218,test,0.0,4.1167684
f1011_35,0,,152,test,0.0,4.130087
f1021_16,0,,277,test,0.0,4.1283784
f1027_05,0,,303,test,0.0,4.1088667
f1038_35,0,,24,test,0.3333333333333333,3.989788
f1039_40,0,,330,test,0.0,4.136764
f1042_08,0,,325,test,0.0,4.1363754
f1145_39,0,,248,test,0.0,4.144753
f1175_48,0,,301,test,0.0,4.100492
f1176_40,0,,326,test,0.0,4.103918
f1203_10,0,,287,test,0.0,4.116784
f1223_27,0,,185,test,0.0,4.112326
f1250_24,0,,233,test,0.0,4.1190686
f1273_29,0,,315,test,0.0,4.1129756
f1275_19,0,,41,test,0.0,4.0912414
f1290_49,0,,261,test,0.0,4.118048
f1293_37,0,,278,test,0.03571428571428571,4.1077614
f1303_05,0,,279,test,0.0,4.1110077
f1316_31,0,,187,test,0.0,4.1150475
f1336_30,0,,262,test,0.0,4.139452
f1349_00,0,,258,test,0.0,4.125392
f1397_09,0,,330,test,0.030303030303030304,4.108649
f1430_10,0,,281,test,0.0,4.1213675
f1463_23,0,,95,test,0.0,4.1134706
f1466_48,0,,297,test,0.03333333333333333,4.081319
f1481_35,0,,352,test,0.027777777777777776,4.1094003
f1494_41,0,,357,test,0.0,4.099028
f1503_02,0,,129,test,0.0,4.119245
f1509_45,0,,123,test,0.07692307692307693,4.111762
f1538_15,0,,146,test,0.0,4.095076
f1568_21,0,,167,test,0.0,4.1494145
f1582_49,0,,169,test,0.0,4.149025
f1584_28,0,,169,test,0.0,4.1201286
f1615_41,0,,114,test,0.0,4.1147494
f1696_08,0,,125,test,0.0,4.115469
f1706_39,0,,42,test,0.0,4.1287913
f1711_35,0,,140,test,0.0,4.1390467
f1713_02,0,,142,test,0.06666666666666667,4.069307
f1719_12,0,,163,test,0.0,4.112886
f1726_01,0,,40,test,0.0,4.1183577
f1729_47,0,,54,test,0.0,4.0865865
f1745_36,0,,139,test,0.0,4.131228
f1746_28,0,,115,test,0.0,4.1298943
f1767_34,0,,51,test,0.0,4.1734223
f1790_11,0,,143,test,0.0,4.141038
f1802_35,0,,109,test,0.0,4.1383443
f1806_29,0,,177,test,0.0,4.1088247
f1829_17,0,,128,test,0.0,4.098901
f1845_02,0,,13,test,0.0,4.2574663
f1859_39,0,,108,test,0.0,4.0960784
f1883_03,0,,163,test,0.0,4.115028
f1891_18,0,,122,test,0.0,4.10168
f1903_48,0,,145,test,0.0,4.1076035
f1922_38,0,,153,test,0.0,4.1036234
f2032_22,0,,110,test,0.0,4.1536183
f2041_22,0,,158,test,0.0,4.1174593
f2053_20,0,,164,test,0.0,4.1135855
f2055_31,0,,159,test,0.0,4.1051803
f2057_23,0,,150,test,0.0,4.173195
f2079_27,0,,153,test,0.0,4.100193
f2084_07,0,,160,test,0.0,4.1499424
f2091_28,0,,170,test,0.0,4.11793
f2104_50,0,,157,test,0.0,4.1209965
f2126_57,0,,158,test,0.0,4.1352015
f2194_63,0,,172,test,0.0,4.1233573
f2200_55,0,,168,test,0.0,4.122349
f2215_69,0,,141,test,0.0,4.1171317
f2237_82,0,,179,test,0.0,4.143041
f2240_80,0,,171,test,0.0,4.10804
f2256_71,0,,162,test,0.0,4.1597557
f2266_81,0,,57,test,0.0,4.117801
f2268_88,0,,155,test,0.0,4.1222363
f2306_63,0,,164,test,0.0,4.134187
f2320_75,0,,171,test,0.0,4.13008
f2322_80,0,,177,test,0.0,4.119726
f2346_88,0,,169,test,0.0,4.1231585
f2351_74,0,,178,test,0.0,4.121154
f2357_70,0,,143,test,0.0,4.0973706
f2391_85,0,,174,test,0.0,4.1318946
f2419_83,0,,177,test,0.05555555555555555,4.1111546
f2447_93,0,,168,test,0.0,4.1179523
f2452_69,0,,160,test,0.0,4.1066732
f2476_67,0,,179,test,0.0,4.0923176
f2481_58,0,,176,test,0.0,4.1089883
f2504_69,0,,91,test,0.0,4.107158
f2513_56,0,,173,test,0.0,4.1280127
f2522_61,0,,175,test,0.0,4.097763
f2539_96,0,,160,test,0.0,4.1212063
f3138_46,0,,47,test,0.0,4.1179824
f3141_36,0,,176,test,0.0,4.1280875
f3150_21,0,,181,test,0.0,4.124385
f3201_07,0,,173,test,0.0,4.126422
f3210_22,0,,183,test,0.0,4.1090407
f3254_32,0,,115,test,0.0,4.0961576
f3269_06,0,,148,test,0.0,4.127093
f3272_48,0,,163,test,0.0,4.131987
f3299_12,0,,181,test,0.0,4.1148057
f3315_23,0,,26,test,0.0,4.1524158
f3322_40,0,,183,test,0.05263157894736842,4.1406436
f3323_10,0,,153,test,0.0,4.137201
f3343_18,0,,179,test,0.0,4.133984
f3359_42,0,,172,test,0.0,4.116255
f3383_24,0,,180,test,0.0,4.120531
f3390_07,0,,182,test,0.0,4.1135902
f3413_34,0,,167,test,0.0,4.0865517
f3456_33,0,,14,test,0.0,4.1756406
f3471_02,0,,170,test,0.0,4.150702
f3475_09,0,,179,test,0.0,4.1349654
f3479_08,0,,166,test,0.0,4.130853
f3502_45,0,,183,test,0.0,4.1136336
f3516_45,0,,176,test,0.05555555555555555,4.105937
f3520_45,0,,183,test,0.0,4.141434
f3555_14,0,,180,test,0.0,4.0953174
f3564_08,0,,176,test,0.0,4.1357126
f3572_03,0,,152,test,0.0,4.1333
f3574_30,0,,150,test,0.0,4.120124
f3635_09,0,,155,test,0.0,4.1169786
f3639_43,0,,157,test,0.0,4.152255
f3649_28,0,,134,test,0.0,4.1474466
f3655_18,0,,170,test,0.058823529411764705,4.1158085
f3721_04,0,,179,test,0.0,4.116536
f3724_32,0,,172,test,0.05555555555555555,4.125078
f3732_30,0,,179,test,0.0,4.1317363
f3742_12,0,,151,test,0.0,4.1374245
f3748_29,0,,175,test,0.0,4.1134434
f3759_43,0,,170,test,0.0,4.118791
f3787_15,0,,172,test,0.0,4.133506
f3808_45,0,,168,test,0.0,4.1125093
f3881_31,0,,157,test,0.0,4.1006804
f3898_28,0,,179,test,0.0,4.1021214
f3915_05,0,,169,test,0.0,4.1278386
f3934_45,0,,162,test,0.0,4.1277156
f3982_48,0,,166,test,0.0,4.121216
f4001_45,0,,179,test,0.0,4.1066666
f4016_16,0,,175,test,0.0,4.124491
f4028_44,0,,174,test,0.0,4.1264086
f4033_05,0,,170,test,0.0,4.1203847
f4046_46,0,,158,test,0.0,4.1099405
f4049_18,0,,183,test,0.0,4.140751
f4081_24,0,,180,test,0.0,4.138044
f4096_14,0,,176,test,0.0,4.131614
f0001_41,1080,,414,train,0.1586021505376344,3.4167979
f0007_14,1080,,376,train,0.17455621301775148,3.5187688
f0018_13,1080,,384,train,0.21739130434782608,3.5398097
f0103_28,1080,,357,train,0.17133956386292834,3.3704698
f0140_09,1080,,347,train,0.10897435897435898,3.587303
f0143_00,1080,,396,train,0.21348314606741572,3.3837397
f0144_05,1080,,372,train,0.2215568862275449,3.29256
f0176_30,1080,,109,train,0.07142857142857142,4.046273
f0182_29,1080,,242,train,0.20276497695852536,3.5979273
f0197_34,1080,,417,train,0.224,3.4220514
f0206_38,1080,,302,train,0.22878228782287824,3.3152254
f0208_05,1080,,414,train,0.2956989247311828,3.2890623
f0235_17,1080,,311,train,0.23655913978494625,3.2941399
f0250_37,1080,,250,train,0.18666666666666668,3.2881143
f0252_30,1080,,404,train,0.2837465564738292,3.2812376
f0253_40,1080,,361,train,0.2345679012345679,3.5751019
f0256_08,1080,,423,train,0.26842105263157895,3.3074005
f0320_41,1080,,421,train,0.21693121693121692,3.2952614
f0364_10,1080,,326,train,0.2627986348122867,3.143861
f0390_33,1080,,361,train,0.2222222222222222,3.2240057
f0401_11,1080,,408,train,0.22070844686648503,3.3696415
f0430_02,1080,,351,train,0.1746031746031746,3.5223715
f0451_44,1080,,420,train,0.2777777777777778,3.335356
f0474_10,1080,,231,train,0.20772946859903382,3.3557968
f0499_10,1080,,107,train,0.0625,3.6285107
f0561_12,1080,,345,train,0.24516129032258063,3.255157
f0592_11,1080,,236,train,0.19339622641509435,3.5406048
f0603_11,1080,,326,train,0.2354948805460751,3.379636
f0612_11,1080,,331,train,0.20202020202020202,3.3405857
f0618_44,1080,,272,train,0.0942622950819672,3.8243048
f0623_37,1080,,318,train,0.1958041958041958,3.387507
f0649_22,1080,,299,train,0.22676579925650558,3.4125314
f0653_02,1080,,346,train,0.26366559485530544,3.562367
f0662_29,1080,,313,train,0.24555160142348753,3.3563216
f0665_47,1080,,391,train,0.27635327635327633,3.2860007
f0671_18,1080,,353,train,0.19242902208201892,3.372322
f0695_31,1080,,368,train,0.256797583081571,3.3194528
f0735_17,1080,,320,train,0.2708333333333333,3.4040215
f0752_25,1080,,118,train,0.07547169811320754,3.773178
f0790_06,1080,,116,train,0.25,3.290637
f0816_18,1080,,325,train,0.18835616438356165,3.5112188
f0818_03,1080,,356,train,0.23125,3.3184128
f0842_22,1080,,356,train,0.209375,3.291797
f0844_42,1080,,30,train,0.14814814814814814,4.088152
f0847_06,1080,,241,train,0.30092592592592593,3.5384398
f0851_41,1080,,228,train,0.34146341463414637,3.2303495
f0873_42,1080,,379,train,0.21114369501466276,3.2685263
f0901_39,1080,,364,train,0.22935779816513763,3.2936108
f0907_00,1080,,280,train,0.1626984126984127,3.355609
f0919_47,1080,,394,train,0.2853107344632768,3.3166883
f0920_11,1080,,269,train,0.2190082644628099,3.45342
f0936_34,1080,,298,train,0.20149253731343283,3.5989318
f0991_47,1080,,8,train,0.0,3.2853405
f0994_46,1080,,37,train,0.0,4.4811215
f0995_43,1080,,336,train,0.26490066225165565,3.2532945
f1003_41,1080,,218,train,0.2602040816326531,3.2700346
f1011_35,1080,,152,train,0.25735294117647056,3.435793
f1021_16,1080,,277,train,0.321285140562249,3.3934782
f1027_05,1080,,303,train,0.2867647058823529,3.2631986
f1038_35,1080,,24,train,0.0,4.5251846
f1039_40,1080,,330,train,0.31986531986531985,3.247125
f1042_08,1080,,325,train,0.3150684931506849,3.2672703
f1145_39,1080,,248,train,0.19282511210762332,3.3986075
f1175_48,1080,,301,train,0.2777777777777778,3.2348619
f1176_40,1080,,326,train,0.30716723549488056,3.351357
f1203_10,1080,,287,train,0.32558139534883723,3.1931078
f1223_27,1080,,185,train,0.42168674698795183,2.9080582
f1250_24,1080,,233,train,0.20095693779904306,3.416943
f1273_29,1080,,315,train,0.3215547703180212,3.2739172
f1275_19,1080,,41,train,0.6666666666666666,2.5742097
f1290_49,1080,,261,train,0.2692307692307692,3.2724314
f1293_37,1080,,278,train,0.208,3.4754512
f1303_05,1080,,279,train,0.2868525896414343,3.3103642
f1316_31,1080,,187,train,0.375,3.272836
f1336_30,1080,,262,train,0.3829787234042553,3.2011287
f1349_00,1080,,258,train,0.2629310344827586,3.3346162
f1397_09,1080,,330,train,0.18181818181818182,3.4211004
f1430_10,1080,,281,train,0.2698412698412698,3.3778005
f1463_23,1080,,95,train,0.08235294117647059,3.4366872
f1466_48,1080,,297,train,0.2883895131086142,3.3638144
f1481_35,1080,,352,train,0.18354430379746836,3.4634786
f1494_41,1080,,357,train,0.3302180685358255,3.2298846
f1503_02,1080,,129,train,0.4482758620689655,3.1843927
f1509_45,1080,,123,train,0.35454545454545455,3.235993
f1538_15,1080,,146,train,0.3053435114503817,3.2387977
f1568_21,1080,,167,train,0.44666666666666666,3.0185983
f1582_49,1080,,169,train,0.3815789473684211,3.1919868
f1584_28,1080,,169,train,0.29605263157894735,3.26182
f1615_41,1080,,114,train,0.5392156862745098,2.750222
f1696_08,1080,,125,train,0.5625,2.7664855
f1706_39,1080,,42,train,0.6216216216216216,2.7146275
f1711_35,1080,,140,train,0.42063492063492064,3.1042135
f1713_02,1080,,142,train,0.4330708661417323,3.2567744
f1719_12,1080,,163,train,0.3150684931506849,3.3524895
f1726_01,1080,,40,train,0.0,4.777845
f1729_47,1080,,54,train,0.5625,2.67678
f1745_36,1080,,139,train,0.488,3.1233358
f1746_28,1080,,115,train,0.46601941747572817,2.9002514
f1767_34,1080,,51,train,0.13333333333333333,3.087294
f1790_11,1080,,143,train,0.4765625,3.088058
f1802_35,1080,,109,train,0.45918367346938777,3.1923869
f1806_29,1080,,177,train,0.5094339622641509,2.9949884
f1829_17,1080,,128,train,0.45217391304347826,3.2756505
f1845_02,1080,,13,train,0.0,4.683682
f1859_39,1080,,108,train,0.7216494845360825,2.4587936
f1883_03,1080,,163,train,0.3972602739726027,3.006651
f1891_18,1080,,122,train,0.48623853211009177,3.0369825
f1903_48,1080,,145,train,0.45384615384615384,3.0016456
f1922_38,1080,,153,train,0.43795620437956206,3.1817048
f2032_22,1080,,110,train,0.48484848484848486,3.0491388
f2041_22,1080,,158,train,0.43661971830985913,3.1345594
f2053_20,1080,,164,train,0.43537414965986393,3.30851
f2055_31,1080,,159,train,0.16083916083916083,3.5710862
f2057_23,1080,,150,train,0.4074074074074074,3.0773597
f2079_27,1080,,153,train,0.5985401459854015,2.9003682
f2084_07,1080,,160,train,0.4930555555555556,3.1350558
f2091_28,1080,,170,train,0.43137254901960786,3.1653333
f2104_50,1080,,157,train,0.3971631205673759,3.220935
f2126_57,1080,,158,train,0.36619718309859156,3.245354
f2194_63,1080,,172,train,0.34415584415584416,3.2266483
f2200_55,1080,,168,train,0.1986754966887417,3.3516517
f2215_69,1080,,141,train,0.42857142857142855,3.2003832
f2237_82,1080,,179,train,0.37267080745341613,3.2908087
f2240_80,1080,,171,train,0.3660130718954248,3.220748
f2256_71,1080,,162,train,0.36551724137931035,3.230428
f2266_81,1080,,57,train,0.1568627450980392,4.1518316
f2268_88,1080,,155,train,0.23741007194244604,3.3756895
f2306_63,1080,,164,train,0.272108843537415,3.2095287
f2320_75,1080,,171,train,0.43790849673202614,3.0772126
f2322_80,1080,,177,train,0.16352201257861634,3.2967618
f2346_88,1080,,169,train,0.39473684210526316,3.0871873
f2351_74,1080,,178,train,0.2375,3.3509064
f2357_70,1080,,143,train,0.5078125,2.9819756
f2391_85,1080,,174,train,0.3717948717948718,3.1278117
f2419_83,1080,,177,train,0.3333333333333333,3.2433057
f2447_93,1080,,168,train,0.31125827814569534,3.216951
f2452_69,1080,,160,train,0.3263888888888889,3.2579389
f2476_67,1080,,179,train,0.38509316770186336,3.189227
f2481_58,1080,,176,train,0.34177215189873417,3.1371973
f2504_69,1080,,91,train,0.41975308641975306,3.0855393
f2513_56,1080,,173,train,0.14193548387096774,3.4009936
f2522_61,1080,,175,train,0.3630573248407643,3.2129862
f2539_96,1080,,160,train,0.4791666666666667,3.0694144
f3138_46,1080,,47,train,0.14285714285714285,4.058158
f3141_36,1080,,176,train,0.379746835443038,3.2637515
f3150_21,1080,,181,train,0.48148148148148145,3.1438966
f3201_07,1080,,173,train,0.3032258064516129,3.231647
f3210_22,1080,,183,train,0.3902439024390244,3.1478982
f3254_32,1080,,115,train,0.33980582524271846,2.933429
f3269_06,1080,,148,train,0.3458646616541353,3.223128
f3272_48,1080,,163,train,0.3698630136986301,3.2572083
f3299_12,1080,,181,train,0.4012345679012346,3.1849613
f3315_23,1080,,26,train,0.0,4.658173
f3322_40,1080,,183,train,0.3231707317073171,3.2202306
f3323_10,1080,,153,train,0.4233576642335766,3.1350143
f3343_18,1080,,179,train,0.2795031055900621,3.1316473
f3359_42,1080,,172,train,0.3116883116883117,3.2242754
f3383_24,1080,,180,train,0.41358024691358025,3.1182733
f3390_07,1080,,182,train,0.25766871165644173,3.3435316
f3413_34,1080,,167,train,0.4666666666666667,3.0492575
f3456_33,1080,,14,train,0.0,4.605097
f3471_02,1080,,170,train,0.3137254901960784,3.291236
f3475_09,1080,,179,train,0.391304347826087,3.0776713
f3479_08,1080,,166,train,0.46308724832214765,2.8969364
f3502_45,1080,,183,train,0.39634146341463417,3.1263502
f3516_45,1080,,176,train,0.379746835443038,3.1890326
f3520_45,1080,,183,train,0.4573170731707317,3.1607661
f3555_14,1080,,180,train,0.3950617283950617,3.2812226
f3564_08,1080,,176,train,0.43670886075949367,3.233052
f3572_03,1080,,152,train,0.38235294117647056,2.870159
f3574_30,1080,,150,train,0.5111111111111111,2.8929734
f3635_09,1080,,155,train,0.3381294964028777,2.9660194
f3639_43,1080,,157,train,0.46808510638297873,3.0400953
f3649_28,1080,,134,train,0.44166666666666665,2.7312262
f3655_18,1080,,170,train,0.42483660130718953,3.0904307
f3721_04,1080,,179,train,0.33540372670807456,3.189631
f3724_32,1080,,172,train,0.37012987012987014,3.1735702
f3732_30,1080,,179,train,0.4409937888198758,3.3017223
