client_id,round_number,hierarchy,num_samples,set,bytes_written,bytes_read,local_computations
f0623_37,1,,318,train,26414840,26414840,3696844200
f2032_22,1,,110,train,26414840,26414840,1188271350
f0816_18,1,,325,train,26414840,26414840,3828874350
f2476_67,1,,179,train,26414840,26414840,2112482400
f3272_48,1,,163,train,26414840,26414840,1848422100
f1706_39,1,,42,train,26414840,26414840,396090450
f0390_33,1,,361,train,26414840,26414840,4224964800
f3269_06,1,,148,train,26414840,26414840,1716391950
f3759_43,1,,170,train,26414840,26414840,1980452250
f0995_43,1,,336,train,26414840,26414840,3960904500
f3413_34,1,,167,train,26414840,26414840,1980452250
f0256_08,1,,423,train,26414840,26414840,5017145700
f0936_34,1,,298,train,26414840,26414840,3432783900
f3732_30,1,,179,train,26414840,26414840,2112482400
f2447_93,1,,168,train,26414840,26414840,1980452250
f1922_38,1,,153,train,26414840,26414840,1716391950
f1582_49,1,,169,train,26414840,26414840,1980452250
f1745_36,1,,139,train,26414840,26414840,1584361800
f3881_31,1,,157,train,26414840,26414840,1848422100
f3201_07,1,,173,train,26414840,26414840,1980452250
f4049_18,1,,183,train,26414840,26414840,2112482400
f0252_30,1,,404,train,26414840,26414840,4753085400
f0603_11,1,,326,train,26414840,26414840,3828874350
f1746_28,1,,115,train,26414840,26414840,1320301500
f3359_42,1,,172,train,26414840,26414840,1980452250
f0873_42,1,,379,train,26414840,26414840,4489025100
f4033_05,1,,170,train,26414840,26414840,1980452250
f4028_44,1,,174,train,26414840,26414840,1980452250
f1145_39,1,,248,train,26414840,26414840,2904663300
f0018_13,1,,384,train,26414840,26414840,4489025100
f1038_35,1,,24,train,26414840,26414840,264060300
f2053_20,1,,164,train,26414840,26414840,1848422100
f2055_31,1,,159,train,26414840,26414840,1848422100
f0844_42,1,,30,train,26414840,26414840,264060300
f0206_38,1,,302,train,26414840,26414840,3564814050
f1767_34,1,,51,train,26414840,26414840,528120600
f1316_31,1,,187,train,26414840,26414840,2112482400
f4001_45,1,,179,train,26414840,26414840,2112482400
f3748_29,1,,175,train,26414840,26414840,1980452250
f3141_36,1,,176,train,26414840,26414840,1980452250
f2322_80,1,,177,train,26414840,26414840,1980452250
f1719_12,1,,163,train,26414840,26414840,1848422100
f1903_48,1,,145,train,26414840,26414840,1716391950
f3323_10,1,,153,train,26414840,26414840,1716391950
f3982_48,1,,166,train,26414840,26414840,1848422100
f0920_11,1,,269,train,26414840,26414840,3168723600
f0001_41,1,,414,train,26414840,26414840,4885115550
f1726_01,1,,40,train,26414840,26414840,396090450
f3150_21,1,,181,train,26414840,26414840,2112482400
f1729_47,1,,54,train,26414840,26414840,528120600
f1176_40,1,,326,train,26414840,26414840,3828874350
f2481_58,1,,176,train,26414840,26414840,1980452250
f0818_03,1,,356,train,26414840,26414840,4224964800
f1275_19,1,,41,train,26414840,26414840,396090450
f0919_47,1,,394,train,26414840,26414840,4621055250
f0907_00,1,,280,train,26414840,26414840,3300753750
f1568_21,1,,167,train,26414840,26414840,1980452250
f0250_37,1,,250,train,26414840,26414840,2904663300
f3502_45,1,,183,train,26414840,26414840,2112482400
f0474_10,1,,231,train,26414840,26414840,2640603000
f3808_45,1,,168,train,26414840,26414840,1980452250
f2351_74,1,,178,train,26414840,26414840,2112482400
f0401_11,1,,408,train,26414840,26414840,4753085400
f0253_40,1,,361,train,26414840,26414840,4224964800
f1463_23,1,,95,train,26414840,26414840,1056241200
f1859_39,1,,108,train,26414840,26414840,1188271350
f0991_47,1,,8,train,26414840,26414840,0
f1802_35,1,,109,train,26414840,26414840,1188271350
f1397_09,1,,330,train,26414840,26414840,3828874350
f0103_28,1,,357,train,26414840,26414840,4224964800
f2091_28,1,,170,train,26414840,26414840,1980452250
f4081_24,1,,180,train,26414840,26414840,2112482400
f2268_88,1,,155,train,26414840,26414840,1716391950
f0144_05,1,,372,train,26414840,26414840,4356994950
f1273_29,1,,315,train,26414840,26414840,3696844200
f1349_00,1,,258,train,26414840,26414840,3036693450
f1538_15,1,,146,train,26414840,26414840,1716391950
f2215_69,1,,141,train,26414840,26414840,1584361800
f3383_24,1,,180,train,26414840,26414840,2112482400
f3555_14,1,,180,train,26414840,26414840,2112482400
f3315_23,1,,26,train,26414840,26414840,264060300
f1711_35,1,,140,train,26414840,26414840,1584361800
f3564_08,1,,176,train,26414840,26414840,1980452250
f0208_05,1,,414,train,26414840,26414840,4885115550
f2194_63,1,,172,train,26414840,26414840,1980452250
f1829_17,1,,128,train,26414840,26414840,1452331650
f0671_18,1,,353,train,26414840,26414840,4092934650
f1021_16,1,,277,train,26414840,26414840,3168723600
f1203_10,1,,287,train,26414840,26414840,3300753750
f0007_14,1,,376,train,26414840,26414840,4356994950
f2200_55,1,,168,train,26414840,26414840,1980452250
f3390_07,1,,182,train,26414840,26414840,2112482400
f0842_22,1,,356,train,26414840,26414840,4224964800
f1883_03,1,,163,train,26414840,26414840,1848422100
f2357_70,1,,143,train,26414840,26414840,1584361800
f3572_03,1,,152,train,26414840,26414840,1716391950
f0320_41,1,,421,train,26414840,26414840,4885115550
f0752_25,1,,118,train,26414840,26414840,1320301500
